method,data,accuracy
random forest,ASV,0.6
random forest,ASV,0.5333333333333333
random forest,ASV,0.5
random forest,ASV,0.5333333333333333
random forest,ASV,0.6
random forest,ASV,0.5666666666666667
random forest,ASV,0.5
random forest,ASV,0.6
random forest,ASV,0.5666666666666667
random forest,ASV,0.6333333333333333
random forest,ASV,0.7
random forest,ASV,0.6333333333333333
random forest,ASV,0.5333333333333333
random forest,ASV,0.4666666666666667
random forest,ASV,0.5333333333333333
random forest,ASV,0.5666666666666667
random forest,ASV,0.4666666666666667
random forest,ASV,0.4666666666666667
random forest,ASV,0.5666666666666667
random forest,ASV,0.5
random forest,ASV,0.43333333333333335
random forest,ASV,0.6
random forest,ASV,0.6333333333333333
random forest,ASV,0.5
random forest,ASV,0.5666666666666667
random forest,ASV,0.5
random forest,ASV,0.4666666666666667
random forest,ASV,0.5333333333333333
random forest,ASV,0.6
random forest,ASV,0.5
