method,data,accuracy
random forest,phylum,0.6333333333333333
random forest,phylum,0.5
random forest,phylum,0.5333333333333333
random forest,phylum,0.5666666666666667
random forest,phylum,0.5
random forest,phylum,0.6
random forest,phylum,0.4666666666666667
random forest,phylum,0.6
random forest,phylum,0.4666666666666667
random forest,phylum,0.5333333333333333
random forest,phylum,0.6
random forest,phylum,0.5
random forest,phylum,0.5
random forest,phylum,0.5333333333333333
random forest,phylum,0.6
random forest,phylum,0.5333333333333333
random forest,phylum,0.5666666666666667
random forest,phylum,0.6
random forest,phylum,0.5666666666666667
random forest,phylum,0.5666666666666667
random forest,phylum,0.6
random forest,phylum,0.6333333333333333
random forest,phylum,0.6
random forest,phylum,0.5
random forest,phylum,0.5666666666666667
random forest,phylum,0.5666666666666667
random forest,phylum,0.5666666666666667
random forest,phylum,0.6666666666666666
random forest,phylum,0.5
random forest,phylum,0.7
